date,open,high,low,close,volume,log_return,volatility_7,RSI_14,MA_7,MA_21
2017-09-06,313.29,336.34,312.09,335.0,5486.30988,0.07083892407415307,0.1010742660051439,54.09473594693426,341.2885714285714,331.43
2017-09-07,335.01,342.5,320.17,334.49,3103.89745,-0.0015235480698769116,0.10111654467008907,52.427525108547876,334.1028571428571,332.9771428571429
2017-09-08,334.49,335.1,272.0,302.99,4915.75693,-0.09890718209077135,0.10410124855817608,45.257929524033,321.89285714285717,333.40714285714284
2017-09-09,300.01,307.0,281.66,296.74,2740.58822,-0.020843467141770648,0.09650029893551347,43.41112272146754,315.2642857142857,333.6847619047619
2017-09-10,296.72,302.78,261.03,293.5,4156.45099,-0.010978695254496504,0.09633427848707933,38.81861721724181,308.36857142857144,333.41809523809525
2017-09-11,293.51,304.98,285.21,297.3,4829.64647,0.012864090735900956,0.06359100836122207,40.10001626280696,310.3014285714286,332.1804761904762
2017-09-12,297.78,316.46,286.01,293.96,5176.31402,-0.011298026343381637,0.05023202078516844,31.699909338168624,307.7114285714286,331.42619047619047
2017-09-13,293.93,294.5,257.05,276.91,6451.22836,-0.05975116001523219,0.0387778251272411,25.925271619114923,299.4128571428572,329.57714285714286
2017-09-14,275.76,283.77,215.0,215.21,12601.95676,-0.25207824803594464,0.09125267878522546,20.454387065300722,282.3728571428572,324.4242857142857
2017-09-15,217.0,270.93,192.0,253.0,14223.8953,0.16177519311802663,0.12212590861497254,28.906882591093122,275.2314285714286,320.88904761904763
2017-09-16,255.99,271.81,235.51,249.31,10362.06011,-0.014692386688004868,0.12218928141873799,33.212867212938775,268.4557142857143,317.00904761904764
2017-09-17,249.32,264.39,239.02,257.55,4614.53337,0.032516773972078875,0.1241049231443112,35.29370678214711,263.32000000000005,312.69571428571425
2017-09-18,257.53,306.22,257.11,294.57,4125.97051,0.1343027898377143,0.13705886298519396,52.03497135966235,262.93,310.24666666666667
2017-09-19,296.0,300.0,277.41,284.0,1869.90852,-0.036542427688102425,0.13769587121354374,44.327773514801514,261.50714285714287,305.9276190476191
2017-09-20,284.01,294.0,275.91,282.0,1060.56734,-0.007067167223092443,0.13562386756357264,38.31054256726952,262.2342857142857,300.97857142857146
2017-09-21,285.1,287.0,252.1,257.0,1912.55583,-0.09283098604289375,0.09218241868677456,34.57542099605875,268.20428571428573,294.8933333333333
2017-09-22,258.0,272.97,253.01,264.0,1464.5125,0.02687301825109627,0.07044706170416148,41.400149984560414,269.7757142857143,288.9666666666667
2017-09-23,259.99,286.23,255.11,285.93,2824.33572,0.07979792247132796,0.07472627060387263,47.769938523744685,275.00714285714287,286.2423809523809
2017-09-24,286.5,294.61,275.0,282.0,5575.54422,-0.013839954679530577,0.07543926980563444,47.63432897227022,278.5,283.39619047619044
2017-09-25,282.0,299.0,281.34,294.42,5870.48035,0.0431002483917535,0.05648287657812614,49.42784488239034,278.4785714285714,283.9033333333333
2017-09-26,294.42,296.81,286.24,287.9,4566.92804,-0.022394121711737002,0.05519888638343155,48.811111983049514,279.0357142857143,282.7514285714286
2017-09-27,289.91,313.0,286.13,309.74,5518.10382,0.07312003826989824,0.06102875091940294,56.32197188523011,282.99857142857144,281.54857142857145
2017-09-28,309.81,311.81,296.89,302.44,6600.90922,-0.023850325197959238,0.04428946005679638,71.24969549330083,289.48999999999995,280.0223809523809
2017-09-29,302.44,303.0,274.0,292.22,11089.19902,-0.03437596744613061,0.04923081382745864,61.03669518235029,293.5214285714286,279.5095238095238
2017-09-30,292.62,307.49,292.22,304.36,4020.60795,0.04070426806438359,0.04232256819765542,64.78805136195132,296.1542857142857,279.8723809523809
2017-10-01,305.13,306.0,294.0,303.95,5060.05758,-0.0013479971135906307,0.041457278942820426,63.01177790241166,299.29,280.37
2017-10-02,303.94,305.0,295.0,296.5,3710.83747,-0.024815995756951273,0.040550359612844596,50.64882673300612,299.58714285714285,280.33190476190475
2017-10-03,298.15,301.99,283.18,292.48,5546.85702,-0.01365093017199488,0.039837868619778984,52.98213532142356,300.24142857142857,280.26142857142855
2017-10-04,292.47,297.97,288.0,291.99,4014.88792,-0.0016767331592732442,0.0248886731229508,53.55086372360845,297.7057142857143,280.9795238095238
2017-10-05,290.0,297.44,285.53,294.81,3412.39016,0.009611525935933162,0.024645706930759084,65.95493290573043,296.61571428571426,284.77
2017-10-06,294.78,310.8,293.78,310.8,3541.02359,0.052818537451047254,0.028293095428793963,68.35582052086602,299.27000000000004,287.52238095238096
2017-10-07,309.9,318.5,303.6,311.01,2165.79076,0.0006754475096379729,0.024572032440852338,61.85703479576399,300.21999999999997,290.4604761904762
2017-10-08,311.08,317.07,309.0,311.07,2960.93198,0.0001929012351661457,0.02453254282651357,64.26538423790362,301.2371428571428,293.00904761904764
2017-10-09,311.13,312.13,286.65,297.19,4885.37863,-0.04564630233628275,0.029310536076788362,51.34010643444605,301.3357142857143,293.1338095238095
2017-10-10,297.35,308.56,293.0,298.64,6749.27468,0.004867169704314665,0.02866676252443666,55.46398046398047,302.2157142857142,293.8309523809524
2017-10-11,300.88,305.5,298.02,304.01,3724.6863,0.017821760995715447,0.029083433264352233,46.497983131646485,303.93285714285713,294.87904761904764
2017-10-12,304.01,310.0,302.71,303.99,7827.75596,-6.578947370788546e-05,0.02910000474257385,51.03984972494298,305.2442857142857,297.1166666666667
2017-10-13,303.52,353.96,297.0,337.96,17925.36585,0.105932739156308,0.04590652663897403,73.27024827024826,309.1242857142857,300.6385714285714
2017-10-14,337.96,349.8,335.0,342.0,7731.96469,0.011883191777961127,0.045641701726225906,70.86937236637836,313.5514285714286,303.30857142857144
2017-10-15,342.0,348.0,316.17,337.96,10011.34708,-0.011883191777961124,0.04645259184884724,68.12706534484597,317.39285714285717,305.97333333333336
2017-10-16,337.5,354.0,332.78,335.19,8663.47097,-0.008230010057287757,0.04050694774627619,71.70425221586449,322.82142857142856,307.9147619047619
2017-10-17,335.18,336.58,312.65,315.19,8146.74356,-0.06152190363523369,0.05042959785268117,60.80296831890399,325.18571428571425,309.2142857142857
2017-10-18,315.19,318.0,284.68,309.7,12908.0454,-0.017571544612965492,0.05101712769462471,58.04195804195803,325.9985714285714,309.21238095238095
2017-10-19,311.52,315.0,300.0,308.66,8678.74739,-0.003363739506471613,0.05106158625407624,56.39250438475031,326.6657142857143,309.50857142857143
2017-10-20,308.66,311.18,302.0,304.51,8739.31764,-0.013536420139482645,0.02268116741352642,46.74059488029846,321.88714285714286,310.0938095238095
2017-10-21,304.51,305.34,290.0,298.94,8591.63121,-0.018461042975534445,0.019369551156240315,44.074619538537064,315.7357142857142,309.8357142857143
2017-10-22,298.99,306.99,290.0,293.79,7173.06893,-0.017377657956855617,0.01913237256520129,41.92070319805499,309.42571428571426,309.35190476190473
2017-10-23,293.78,294.6,272.2,281.09,9658.78404,-0.044190323649752866,0.020238371180232702,42.388426626323735,301.69714285714286,308.61809523809524
2017-10-24,282.27,310.0,275.5,297.38,14066.67924,0.05633587951801723,0.031062599760684657,49.4776119402985,299.1528571428571,308.8514285714286
2017-10-25,295.43,300.0,281.0,294.49,9703.09261,-0.009765735611334387,0.030813789430869494,45.97019979681681,296.98,308.9704761904762
2017-10-26,294.1,299.76,291.03,294.71,7813.02717,0.0007467753232314043,0.030937868359760604,46.078431372549005,294.9871428571428,308.9657142857143
2017-10-27,294.72,298.1,292.03,296.33,6272.14802,0.005481876207628767,0.03106273458279117,25.788065604280575,293.81857142857143,308.27666666666664
2017-10-28,296.14,297.0,290.1,291.87,5848.86589,-0.01516520053315711,0.030829164090840744,20.98622525755296,292.8085714285714,307.36523809523806
2017-10-29,291.86,309.4,291.86,305.0,9019.13315,0.0440032789519656,0.034685360827330515,32.73984080435693,294.40999999999997,307.07619047619045
2017-10-30,305.0,316.0,302.1,307.25,8946.12026,0.007349971838732488,0.02704553736107255,35.288542544229145,298.1471428571428,307.5552380952381
