date,open,high,low,close,volume,log_return,volatility_7,RSI_14,MA_7,MA_21
2017-11-26,1.85,1.91,1.76,1.8388,193666.26,-0.016825245916559418,0.0512969922357441,65.66936208445642,1.6930285714285713,1.6770285714285713
2017-11-27,1.8388,1.9532,1.74,1.9532,480695.73,0.06035586825543235,0.05357586793084817,63.167534220165805,1.7377714285714287,1.6952285714285715
2017-11-28,1.945,1.9532,1.801,1.9249,359515.94,-0.014595034866915471,0.050707087341839575,67.0864045864046,1.785985714285714,1.7011761904761904
2017-11-29,1.9248,2.0486,1.55,1.7565,935739.25,-0.09155082561470806,0.06807772407479588,59.179987356633255,1.8060857142857143,1.6901095238095238
2017-11-30,1.7641,2.038,1.71,1.95,748118.06,0.1045061798519108,0.0732419538300152,65.07225098524071,1.8603714285714283,1.688204761904762
2017-12-01,1.95,2.1385,1.8801,2.0527,321456.28,0.051326627165340845,0.0683160945055519,70.45488441461596,1.9065857142857143,1.7043666666666666
2017-12-02,2.0526,2.1199,1.975,2.0797,241150.68,0.013067652800741947,0.06407472676325546,67.04375311928132,1.9365428571428571,1.7245904761904758
2017-12-03,2.0797,2.4,2.0438,2.2617,346006.6,0.08389309036189052,0.06693365103633855,75.17309594460929,1.9969571428571429,1.7613380952380955
2017-12-04,2.2617,2.5898,2.2617,2.55,384958.49,0.11997661626670598,0.07483117963663903,79.11813643926789,2.0822142857142856,1.8027666666666666
2017-12-05,2.5305,2.75,2.5,2.612,428655.47,0.024022852243849938,0.07165591218285924,82.58905852417303,2.1803714285714286,1.8513809523809523
2017-12-06,2.6,2.8,2.3272,2.5134,379335.63,-0.03847979321527759,0.0560888631932739,77.32919254658384,2.2885,1.8971047619047618
2017-12-07,2.5393,2.84,2.4001,2.6625,533510.45,0.05762911283663642,0.05125176930953479,81.29475794901172,2.390285714285714,1.949609523809524
2017-12-08,2.6489,2.8,2.206,2.79,649804.35,0.0467760647977307,0.051179422201493706,80.9487688178317,2.4956142857142853,2.010842857142857
2017-12-09,2.789,2.81,2.1777,2.65,477826.16,-0.05148195583514345,0.06226315746387451,72.76707530647984,2.5770857142857144,2.057514285714286
2017-12-10,2.65,2.6648,2.1315,2.4619,562267.17,-0.07362623044501775,0.0695279482890648,66.6613187871009,2.605685714285714,2.0985571428571426
2017-12-11,2.4616,2.78,2.4505,2.687,381605.55,0.08749192008024108,0.061781500568857305,68.52468948803391,2.625257142857143,2.148414285714286
2017-12-12,2.687,2.7397,2.4545,2.5547,541865.92,-0.05049052970132751,0.06480080344905438,65.10601554255013,2.6170714285714283,2.1944761904761902
2017-12-13,2.5547,2.74,2.265,2.719,702146.43,0.06232936571830697,0.06681593998614548,73.13145878394616,2.6464428571428575,2.2470095238095236
2017-12-14,2.7194,3.1521,2.6981,3.1519,998488.09,0.1477412799536975,0.08377368820854,75.90413379887065,2.7163571428571425,2.322338095238095
2017-12-15,3.1518,4.399,2.99,4.12,919574.18,0.2678477177574039,0.1251816007887691,82.45063259347629,2.906357142857143,2.436185714285714
2017-12-16,4.16,4.7201,3.8172,4.6378,775606.79,0.11838695250676315,0.11715116077030291,84.79366720165393,3.190328571428572,2.5679857142857143
2017-12-17,4.63,6.7,4.596,5.999,1555662.04,0.2573526728027578,0.11148987866902879,88.48680823018145,3.6956285714285717,2.7660904761904765
2017-12-18,5.999,6.1,4.75,6.0,1430171.07,0.00016668055709891268,0.12114576419009113,87.76269702276707,4.168914285714286,2.958795238095238
2017-12-19,5.98,6.463,5.2725,5.6999,1784870.53,-0.05131083840109489,0.12133251149379541,82.1247997336718,4.618228571428572,3.138557142857143
2017-12-20,5.69,5.7,4.68,5.1502,1397302.05,-0.10141308195391628,0.1463120851356937,75.07798828273606,4.965542857142857,3.3001619047619046
2017-12-21,5.1819,5.6899,4.42,5.1596,996548.76,0.0018235082358001506,0.1473139323652294,74.39765510503176,5.252357142857143,3.4529999999999994
2017-12-22,5.1596,5.1996,3.25,4.2912,1599471.66,-0.18429264300362172,0.14542673971250739,62.81237197869726,5.276814285714287,3.5595952380952385
2017-12-23,4.2912,4.998,4.17,4.4,964500.62,0.025038126818993155,0.13744457446679012,65.01578802855573,5.242842857142857,3.670085714285715
2017-12-24,4.4,5.2,3.8,5.181,1047106.95,0.16339354690843574,0.1088874836874522,71.17646142583449,5.125985714285714,3.8091
2017-12-25,5.1899,6.88,5.029,6.4631,1480881.6,0.22111099101910714,0.14277561251262808,75.25110002541092,5.192142857142857,3.9954380952380952
2017-12-26,6.4631,10.793,6.35,9.254,3081660.72,0.35894681163304937,0.18963112818598923,83.0480381226753,5.699871428571429,4.3117238095238095
